scenario_id;family;scenario_status;semantic_outcome_kind;outcome_before;outcome_after;outcome_changed;module_prediction;module_classification;full_interface_prediction;full_interface_classification;used_declarations_prediction;used_declarations_classification
conversion.add_better_conversion_function;adl_conversions;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int () const"",""return_type"":""int""},""stable_id"":""usr:c:@S@Number@F@operator int#1"",""structural_key"":""Provider|CXXConversion|Number::operator int|int () const|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long () const"",""return_type"":""long""},""stable_id"":""usr:c:@S@Number@F@operator long#1"",""structural_key"":""Provider|CXXConversion|Number::operator long|long () const|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger
deduction.add_constrained_guide;specializations_guides;completed;deduced_type;struct Holder<char>;struct Holder<int>;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
deduction.add_exact_guide;specializations_guides;completed;deduced_type;struct Box<long>;struct Box<int>;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
direct.change_used_signature;direct_and_controls;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@F@convert#I#"",""structural_key"":""Provider|Function|convert|long (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (long)"",""return_type"":""long""},""stable_id"":""usr:c:@F@convert#L#"",""structural_key"":""Provider|Function|convert|long (long)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger
direct.remove_used_declaration;direct_and_controls;completed;compile_status;success;semantic_failure;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger
lookup.export_using_changes_overload_set;lookup_overload;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (long)"",""return_type"":""int""},""stable_id"":""usr:c:@N@detail@F@route#L#"",""structural_key"":""Provider|Function|detail::route|int (long)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@N@detail@F@route#I#"",""structural_key"":""Provider|Function|detail::route|long (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
overload.add_ambiguous_candidate;lookup_overload;completed;compile_status;success;semantic_failure;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
overload.add_better_candidate;lookup_overload;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (long)"",""return_type"":""int""},""stable_id"":""usr:c:@F@pick#L#"",""structural_key"":""Provider|Function|pick|int (long)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@F@pick#I#"",""structural_key"":""Provider|Function|pick|long (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
overload.add_constrained_candidate;lookup_overload;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Trank#t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|rank|int (type-parameter-0-0)|1|""},""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@rank<#I>#I#"",""structural_key"":""Provider|Function|rank|int (int)|0|""}";"{""primary_template"":{""semantic_discriminators"":{""template_requires"":""(sizeof(type-parameter-0-0) == 4)""},""stable_id"":""usr:c:@FT@>1#Trank#t0.0#L#"",""structural_key"":""Provider|FunctionTemplate|rank|long (type-parameter-0-0)|1|(sizeof(type-parameter-0-0) == 4)""},""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@F@rank<#I>#I#"",""structural_key"":""Provider|Function|rank|long (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
overload.add_non_template_candidate;lookup_overload;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Tchoose#t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|choose|int (type-parameter-0-0)|1|""},""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@choose<#I>#I#"",""structural_key"":""Provider|Function|choose|int (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@F@choose#I#"",""structural_key"":""Provider|Function|choose|long (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
reexport.add_export_import_overload;reexport_reachability;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""long (long)"",""return_type"":""long""},""stable_id"":""usr:c:@F@route#L#"",""structural_key"":""Provider|Function|route|long (long)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@route#I#"",""structural_key"":""Base|Function|route|int (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
reexport.break_intermediate_chain;reexport_reachability;completed;name_reachability;success;semantic_failure;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
reexport.new_reachable_candidate;reexport_reachability;completed;selected_declaration;"{""primary_template"":{""stable_id"":""usr:c:@FT@>1#Tscore#t0.0#I#"",""structural_key"":""Provider|FunctionTemplate|score|int (type-parameter-0-0)|1|""},""semantic_discriminators"":{""canonical_type"":""int (int)"",""return_type"":""int""},""stable_id"":""usr:c:@F@score<#I>#I#"",""structural_key"":""Provider|Function|score|int (int)|0|""}";"{""semantic_discriminators"":{""canonical_type"":""long (int)"",""return_type"":""long""},""stable_id"":""usr:c:@F@score#I#"",""structural_key"":""Base|Function|score|long (int)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
reexport.remove_export_import;reexport_reachability;completed;name_reachability;success;semantic_failure;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
specialization.add_explicit_specialization;specializations_guides;completed;expression_type;int;long;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
specialization.add_partial_specialization;specializations_guides;completed;expression_type;int;long;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
templates.remove_instantiation_requirement;templates_constraints;completed;compile_status;success;semantic_failure;True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger
templates.sfinae_candidate_becomes_viable;templates_constraints;completed;selected_declaration;"{""semantic_discriminators"":{""canonical_type"":""int (...)"",""return_type"":""int""},""stable_id"":""usr:c:@F@inspect.#"",""structural_key"":""Provider|Function|inspect|int (...)|0|""}";"{""primary_template"":{""stable_id"":""usr:c:@FT@>2#T#Tinspect#&1t0.0#L#"",""structural_key"":""Provider|FunctionTemplate|inspect|long (const type-parameter-0-0 &)|2|""},""semantic_discriminators"":{""canonical_type"":""long (const struct Item &)"",""return_type"":""long""},""stable_id"":""usr:c:@F@inspect<#$@S@Item#L>#&1S0_#"",""structural_key"":""Provider|Function|inspect|long (const struct Item &)|0|""}";True;changed_or_unknown;correct_trigger;changed_or_unknown;correct_trigger;unchanged;unsafe_skip
